"D:0","D:1","D:2","DD:0","DD:1","DD:2","U:0","U:1","U:2","epsilon:0","epsilon:1","epsilon:2","epsilon:3","epsilon:4","epsilon:5","epsilonEq","pointD:0","pointD:1","pointD:2","pointDD:0","pointDD:1","pointDD:2","sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","sigmaEq","sigmaHyd","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-9.7422e-15,-3.1245e-14,-4.9244e-33,-2.7934e-22,-1.7059e-22,0,0,0,0,-2.0918e-13,2.7804e-13,0,-5.5121e-13,2.9259e-29,1.3094e-30,7.1311e-13,-9.7422e-15,-3.1245e-14,-4.9244e-33,-2.7934e-22,-1.7059e-22,0,-0.24576,0.51431,0.080565,-0.85989,4.5644e-17,2.0427e-18,1.6687,0.03618,1,0.00943,0.00943,0.00125,0
-9.7443e-15,-3.1292e-14,-4.9968e-33,-2.7963e-22,-1.731e-22,0,0,0,0,-2.0776e-13,2.7841e-13,0,-5.5278e-13,2.9411e-29,1.2865e-30,7.1434e-13,-9.7443e-15,-3.1292e-14,-4.9968e-33,-2.7963e-22,-1.731e-22,0,-0.24145,0.51699,0.08266,-0.86234,4.5881e-17,2.0069e-18,1.6715,0.038028,1,0.00944,0.00944,0.00125,0
-9.7465e-15,-3.1339e-14,-5.0693e-33,-2.7991e-22,-1.7561e-22,0,0,0,0,-2.0634e-13,2.7878e-13,0,-5.5436e-13,2.9563e-29,1.2635e-30,7.1556e-13,-9.7465e-15,-3.1339e-14,-5.0692e-33,-2.7991e-22,-1.7561e-22,0,-0.23714,0.51966,0.084756,-0.8648,4.6118e-17,1.9711e-18,1.6744,0.039876,1,0.00945,0.00945,0.00125,0
-9.7487e-15,-3.1386e-14,-5.1417e-33,-2.8019e-22,-1.7812e-22,0,0,0,0,-2.0492e-13,2.7916e-13,0,-5.5594e-13,2.9714e-29,1.2405e-30,7.1679e-13,-9.7487e-15,-3.1386e-14,-5.1417e-33,-2.8019e-22,-1.7812e-22,0,-0.23283,0.52233,0.086852,-0.86726,4.6354e-17,1.9352e-18,1.6773,0.041723,1,0.00946,0.00946,0.00125,0
-9.7508e-15,-3.1433e-14,-5.2141e-33,-2.8047e-22,-1.8063e-22,0,0,0,0,-2.035e-13,2.7953e-13,0,-5.5751e-13,2.9866e-29,1.2175e-30,7.1802e-13,-9.7508e-15,-3.1433e-14,-5.2141e-33,-2.8047e-22,-1.8062e-22,0,-0.22852,0.52501,0.088947,-0.86972,4.6591e-17,1.8994e-18,1.6802,0.043571,1,0.00947,0.00947,0.00125,0
-9.753e-15,-3.148e-14,-5.2865e-33,-2.8076e-22,-1.8313e-22,0,0,0,0,-2.0208e-13,2.799e-13,0,-5.5909e-13,3.0018e-29,1.1946e-30,7.1925e-13,-9.753e-15,-3.148e-14,-5.2865e-33,-2.8076e-22,-1.8313e-22,0,-0.2242,0.52768,0.091043,-0.87218,4.6828e-17,1.8635e-18,1.683,0.045419,1,0.00948,0.00948,0.00125,0
-9.7551e-15,-3.1527e-14,-5.3589e-33,-2.8104e-22,-1.8564e-22,0,0,0,0,-2.0066e-13,2.8027e-13,0,-5.6066e-13,3.017e-29,1.1716e-30,7.2048e-13,-9.7551e-15,-3.1527e-14,-5.3589e-33,-2.8104e-22,-1.8564e-22,0,-0.21989,0.53035,0.093138,-0.87463,4.7064e-17,1.8277e-18,1.6859,0.047267,1,0.00949,0.00949,0.00125,0
-9.7573e-15,-3.1574e-14,-5.4313e-33,-2.8132e-22,-1.8815e-22,0,0,0,0,-1.9924e-13,2.8064e-13,0,-5.6224e-13,3.0321e-29,1.1486e-30,7.2171e-13,-9.7573e-15,-3.1574e-14,-5.4313e-33,-2.8132e-22,-1.8815e-22,0,-0.21558,0.53303,0.095234,-0.87709,4.7301e-17,1.7919e-18,1.6888,0.049114,1,0.0095,0.0095,0.00125,0
-9.7594e-15,-3.162e-14,-5.5038e-33,-2.8161e-22,-1.9066e-22,0,0,0,0,-1.9782e-13,2.8101e-13,0,-5.6381e-13,3.0473e-29,1.1257e-30,7.2294e-13,-9.7594e-15,-3.162e-14,-5.5038e-33,-2.8161e-22,-1.9066e-22,0,-0.21127,0.5357,0.09733,-0.87955,4.7538e-17,1.756e-18,1.6917,0.050962,1,0.00951,0.00951,0.00125,0
-9.7616e-15,-3.1667e-14,-5.5762e-33,-2.8189e-22,-1.9317e-22,0,0,0,0,-1.964e-13,2.8138e-13,0,-5.6539e-13,3.0625e-29,1.1027e-30,7.2417e-13,-9.7616e-15,-3.1667e-14,-5.5762e-33,-2.8189e-22,-1.9317e-22,0,-0.20696,0.53838,0.099425,-0.88201,4.7775e-17,1.7202e-18,1.6946,0.05281,1,0.00952,0.00952,0.00125,0
