"D:0","D:1","D:2","DD:0","DD:1","DD:2","U:0","U:1","U:2","epsilon:0","epsilon:1","epsilon:2","epsilon:3","epsilon:4","epsilon:5","epsilonEq","pointD:0","pointD:1","pointD:2","pointDD:0","pointDD:1","pointDD:2","sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","sigmaEq","sigmaHyd","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.174e-07,-3.0454e-05,0,-1.174e-07,-3.0454e-05,0,0,0,0,3.71e-06,-2.2389e-06,0,-9.6217e-06,-3.1691e-21,2.0619e-20,9.5421e-05,-1.1741e-07,-3.0454e-05,0,-1.1741e-07,-3.0454e-05,0,7.4048e+05,-1.7472e+05,1.6973e+05,-1.4803e+06,-4.8756e-10,3.1722e-09,2.202e+07,2.4518e+05,1,0.076,0.076,0.05,0
-1.3454e-07,-3.1891e-05,0,-1.3454e-07,-3.1891e-05,0,0,0,0,3.7066e-06,-2.2361e-06,0,-9.5962e-06,-3.1957e-21,2.0789e-20,9.5353e-05,-1.3455e-07,-3.1891e-05,0,-1.3455e-07,-3.1891e-05,0,7.3988e+05,-1.7436e+05,1.6966e+05,-1.4763e+06,-4.9165e-10,3.1983e-09,2.2005e+07,2.4508e+05,1,0.078,0.078,0.05,0
-1.5168e-07,-3.3327e-05,0,-1.5168e-07,-3.3327e-05,0,0,0,0,3.7032e-06,-2.2333e-06,0,-9.5707e-06,-3.2224e-21,2.0959e-20,9.5286e-05,-1.5169e-07,-3.3327e-05,0,-1.5169e-07,-3.3327e-05,0,7.3928e+05,-1.7401e+05,1.6958e+05,-1.4724e+06,-4.9575e-10,3.2245e-09,2.1989e+07,2.4497e+05,1,0.08,0.08,0.05,0
-1.5507e-07,-3.5168e-05,0,-1.5507e-07,-3.5168e-05,0,0,0,0,3.3545e-06,-1.9792e-06,0,-9.4852e-06,-2.4573e-21,1.8728e-20,9.4838e-05,-1.5508e-07,-3.5168e-05,0,-1.5508e-07,-3.5168e-05,0,6.7471e+05,-1.4582e+05,1.5867e+05,-1.4593e+06,-3.7804e-10,2.8813e-09,2.1886e+07,2.2921e+05,1,0.082,0.082,0.05,0
-1.5845e-07,-3.7009e-05,0,-1.5845e-07,-3.7009e-05,0,0,0,0,3.0057e-06,-1.725e-06,0,-9.3997e-06,-1.6922e-21,1.6498e-20,9.4389e-05,-1.5847e-07,-3.7009e-05,0,-1.5847e-07,-3.7009e-05,0,6.1014e+05,-1.1763e+05,1.4776e+05,-1.4461e+06,-2.6034e-10,2.5381e-09,2.1782e+07,2.1344e+05,1,0.084,0.084,0.05,0
-1.6184e-07,-3.8849e-05,0,-1.6184e-07,-3.8849e-05,0,0,0,0,2.657e-06,-1.4708e-06,0,-9.3142e-06,-9.2712e-22,1.4267e-20,9.394e-05,-1.6186e-07,-3.8849e-05,0,-1.6186e-07,-3.8849e-05,0,5.4558e+05,-89435,1.3685e+05,-1.433e+06,-1.4263e-10,2.1949e-09,2.1679e+07,1.9768e+05,1,0.086,0.086,0.05,0
-1.6523e-07,-4.069e-05,0,-1.6523e-07,-4.069e-05,0,0,0,0,2.3082e-06,-1.2167e-06,0,-9.2287e-06,-1.6204e-22,1.2036e-20,9.3492e-05,-1.6524e-07,-4.069e-05,0,-1.6524e-07,-4.069e-05,0,4.8101e+05,-61244,1.2594e+05,-1.4198e+06,-2.4929e-11,1.8518e-09,2.1575e+07,1.8192e+05,1,0.088,0.088,0.05,0
-1.6862e-07,-4.2531e-05,0,-1.6862e-07,-4.2531e-05,0,0,0,0,1.9595e-06,-9.6248e-07,0,-9.1432e-06,6.0304e-22,9.8058e-21,9.3043e-05,-1.6863e-07,-4.2531e-05,0,-1.6863e-07,-4.2531e-05,0,4.1644e+05,-33053,1.1502e+05,-1.4066e+06,9.2776e-11,1.5086e-09,2.1472e+07,1.6616e+05,1,0.09,0.09,0.05,0
-1.72e-07,-4.4372e-05,0,-1.72e-07,-4.4372e-05,0,0,0,0,1.6107e-06,-7.0831e-07,0,-9.0577e-06,1.3681e-21,7.5751e-21,9.2595e-05,-1.7202e-07,-4.4372e-05,0,-1.7202e-07,-4.4372e-05,0,3.5188e+05,-4862.4,1.0411e+05,-1.3935e+06,2.1048e-10,1.1654e-09,2.1368e+07,1.5039e+05,1,0.092,0.092,0.05,0
-1.7539e-07,-4.6212e-05,0,-1.7539e-07,-4.6212e-05,0,0,0,0,1.262e-06,-4.5414e-07,0,-8.9722e-06,2.1332e-21,5.3445e-21,9.2146e-05,-1.7541e-07,-4.6212e-05,0,-1.7541e-07,-4.6212e-05,0,2.8731e+05,23329,93199,-1.3803e+06,3.2819e-10,8.2223e-10,2.1265e+07,1.3463e+05,1,0.094,0.094,0.05,0
-1.7878e-07,-4.8053e-05,0,-1.7878e-07,-4.8053e-05,0,0,0,0,9.1326e-07,-1.9996e-07,0,-8.8867e-06,2.8983e-21,3.1138e-21,9.1698e-05,-1.7879e-07,-4.8053e-05,0,-1.7879e-07,-4.8053e-05,0,2.2274e+05,51520,82287,-1.3672e+06,4.4589e-10,4.7905e-10,2.1161e+07,1.1887e+05,1,0.096,0.096,0.05,0
-1.8216e-07,-4.9894e-05,0,-1.8216e-07,-4.9894e-05,0,0,0,0,5.6452e-07,5.4208e-08,0,-8.8012e-06,3.6634e-21,8.8317e-22,9.1249e-05,-1.8218e-07,-4.9894e-05,0,-1.8218e-07,-4.9894e-05,0,1.5818e+05,79710,71374,-1.354e+06,5.636e-10,1.3587e-10,2.1058e+07,1.031e+05,1,0.098,0.098,0.05,0
-1.8555e-07,-5.1735e-05,0,-1.8555e-07,-5.1735e-05,0,0,0,0,2.1577e-07,3.0838e-07,0,-8.7157e-06,4.4285e-21,-1.3475e-21,9.0801e-05,-1.8557e-07,-5.1735e-05,0,-1.8557e-07,-5.1735e-05,0,93608,1.079e+05,60462,-1.3409e+06,6.813e-10,-2.0731e-10,2.0954e+07,87342,1,0.1,0.1,0.05,0
-1.813e-07,-5.3974e-05,0,-1.813e-07,-5.3974e-05,0,0,0,0,3.0705e-07,2.323e-07,0,-8.7415e-06,5.9668e-21,1.4221e-21,9.0679e-05,-1.8132e-07,-5.3974e-05,0,-1.8132e-07,-5.3974e-05,0,1.0941e+05,97952,62217,-1.3448e+06,9.1796e-10,2.1878e-10,2.0926e+07,89878,1,0.102,0.102,0.05,0
-1.7705e-07,-5.6214e-05,0,-1.7705e-07,-5.6214e-05,0,0,0,0,3.9833e-07,1.5622e-07,0,-8.7672e-06,7.5051e-21,4.1917e-21,9.0557e-05,-1.7706e-07,-5.6213e-05,0,-1.7706e-07,-5.6213e-05,0,1.2521e+05,88003,63973,-1.3488e+06,1.1546e-09,6.4488e-10,2.0898e+07,92414,1,0.104,0.104,0.05,0
-1.7281e-07,-5.8453e-05,0,-1.7281e-07,-5.8453e-05,0,0,0,0,4.8961e-07,8.0139e-08,0,-8.793e-06,9.0433e-21,6.9613e-21,9.0435e-05,-1.7281e-07,-5.8453e-05,0,-1.7281e-07,-5.8453e-05,0,1.4102e+05,78054,65728,-1.3528e+06,1.3913e-09,1.071e-09,2.087e+07,94950,1,0.106,0.106,0.05,0
-1.6856e-07,-6.0692e-05,0,-1.6856e-07,-6.0692e-05,0,0,0,0,5.809e-07,4.0585e-09,0,-8.8187e-06,1.0582e-20,9.731e-21,9.0314e-05,-1.6856e-07,-6.0692e-05,0,-1.6856e-07,-6.0692e-05,0,1.5682e+05,68105,67483,-1.3567e+06,1.6279e-09,1.4971e-09,2.0842e+07,97486,1,0.108,0.108,0.05,0
-1.6431e-07,-6.2932e-05,0,-1.6431e-07,-6.2932e-05,0,0,0,0,6.7218e-07,-7.2022e-08,0,-8.8445e-06,1.212e-20,1.2501e-20,9.0192e-05,-1.6431e-07,-6.2932e-05,0,-1.6431e-07,-6.2932e-05,0,1.7262e+05,58156,69239,-1.3607e+06,1.8646e-09,1.9232e-09,2.0813e+07,1.0002e+05,1,0.11,0.11,0.05,0
-1.6006e-07,-6.5171e-05,0,-1.6006e-07,-6.5171e-05,0,0,0,0,7.6346e-07,-1.481e-07,0,-8.8702e-06,1.3658e-20,1.527e-20,9.007e-05,-1.6006e-07,-6.5171e-05,0,-1.6006e-07,-6.5171e-05,0,1.8843e+05,48207,70994,-1.3647e+06,2.1013e-09,2.3493e-09,2.0785e+07,1.0256e+05,1,0.112,0.112,0.05,0
-1.5582e-07,-6.7411e-05,0,-1.5582e-07,-6.7411e-05,0,0,0,0,8.5474e-07,-2.2418e-07,0,-8.896e-06,1.5197e-20,1.804e-20,8.9948e-05,-1.558e-07,-6.7411e-05,0,-1.558e-07,-6.7411e-05,0,2.0423e+05,38259,72749,-1.3686e+06,2.3379e-09,2.7753e-09,2.0757e+07,1.0509e+05,1,0.114,0.114,0.05,0
-1.5157e-07,-6.965e-05,0,-1.5157e-07,-6.965e-05,0,0,0,0,9.4602e-07,-3.0026e-07,0,-8.9217e-06,1.6735e-20,2.0809e-20,8.9827e-05,-1.5155e-07,-6.965e-05,0,-1.5155e-07,-6.965e-05,0,2.2003e+05,28310,74505,-1.3726e+06,2.5746e-09,3.2014e-09,2.0729e+07,1.0763e+05,1,0.116,0.116,0.05,0
-1.4732e-07,-7.1889e-05,0,-1.4732e-07,-7.1889e-05,0,0,0,0,1.0373e-06,-3.7634e-07,0,-8.9475e-06,1.8273e-20,2.3579e-20,8.9705e-05,-1.473e-07,-7.1889e-05,0,-1.473e-07,-7.1889e-05,0,2.3584e+05,18361,76260,-1.3765e+06,2.8113e-09,3.6275e-09,2.0701e+07,1.1016e+05,1,0.118,0.118,0.05,0
-1.4308e-07,-7.4129e-05,0,-1.4308e-07,-7.4129e-05,0,0,0,0,1.1286e-06,-4.5243e-07,0,-8.9732e-06,1.9811e-20,2.6349e-20,8.9583e-05,-1.4305e-07,-7.4129e-05,0,-1.4305e-07,-7.4129e-05,0,2.5164e+05,8411.6,78015,-1.3805e+06,3.0479e-09,4.0536e-09,2.0673e+07,1.127e+05,1,0.12,0.12,0.05,0
-1.4281e-07,-7.6757e-05,0,-1.4281e-07,-7.6757e-05,0,0,0,0,1.0527e-06,-4.3875e-07,0,-8.9546e-06,1.8396e-20,3.0565e-20,8.9454e-05,-1.4278e-07,-7.6757e-05,0,-1.4278e-07,-7.6757e-05,0,2.328e+05,3341.3,70842,-1.3776e+06,2.8301e-09,4.7023e-09,2.0643e+07,1.0234e+05,1,0.122,0.122,0.05,0
-1.4255e-07,-7.9386e-05,0,-1.4255e-07,-7.9386e-05,0,0,0,0,9.7689e-07,-4.2508e-07,0,-8.9359e-06,1.698e-20,3.4782e-20,8.9324e-05,-1.4252e-07,-7.9386e-05,0,-1.4252e-07,-7.9386e-05,0,2.1396e+05,-1728.9,63669,-1.3748e+06,2.6122e-09,5.351e-09,2.0613e+07,91978,1,0.124,0.124,0.05,0
-1.4228e-07,-8.2014e-05,0,-1.4228e-07,-8.2014e-05,0,0,0,0,9.0105e-07,-4.1141e-07,0,-8.9172e-06,1.5564e-20,3.8998e-20,8.9195e-05,-1.4225e-07,-8.2014e-05,0,-1.4225e-07,-8.2014e-05,0,1.9512e+05,-6799.1,56496,-1.3719e+06,2.3944e-09,5.9997e-09,2.0583e+07,81616,1,0.126,0.126,0.05,0
