"D:0","D:1","D:2","DD:0","DD:1","DD:2","U:0","U:1","U:2","epsilon:0","epsilon:1","epsilon:2","epsilon:3","epsilon:4","epsilon:5","epsilonEq","pointD:0","pointD:1","pointD:2","pointDD:0","pointDD:1","pointDD:2","sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","sigmaEq","sigmaHyd","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.2806e-17,-5.1519e-16,1.5702e-36,3.2806e-17,-5.1519e-16,1.5702e-36,0,0,0,1.5985e-17,-6.7886e-18,0,-2.7866e-19,2.0953e-33,4.4109e-33,1.3516e-17,3.2806e-17,-5.1519e-16,1.5702e-36,3.2806e-17,-5.1519e-16,1.5702e-36,3.5696e-05,1.6933e-07,1.076e-05,-4.3471e-07,3.2686e-21,6.881e-21,3.1627e-05,1.5896e-05,1,1.11,1.11,0.09,0
3.2843e-17,-5.1684e-16,3.729e-35,3.2843e-17,-5.1684e-16,3.729e-35,0,0,0,1.5949e-17,-6.7734e-18,0,-2.787e-19,3.153e-34,4.4958e-33,1.3486e-17,3.2843e-17,-5.1684e-16,3.729e-35,3.2843e-17,-5.1684e-16,3.729e-35,3.5616e-05,1.6897e-07,1.0735e-05,-4.3477e-07,4.9189e-22,7.0134e-21,3.1557e-05,1.586e-05,1,1.112,1.112,0.09,0
3.2879e-17,-5.1848e-16,7.301e-35,3.2879e-17,-5.1848e-16,7.301e-35,0,0,0,1.5913e-17,-6.7582e-18,0,-2.7874e-19,-1.4647e-33,4.5806e-33,1.3456e-17,3.2879e-17,-5.1848e-16,7.301e-35,3.2879e-17,-5.1848e-16,7.301e-35,3.5536e-05,1.6861e-07,1.0711e-05,-4.3484e-07,-2.2849e-21,7.1457e-21,3.1486e-05,1.5825e-05,1,1.114,1.114,0.09,0
3.2916e-17,-5.2013e-16,1.0873e-34,3.2916e-17,-5.2013e-16,1.0873e-34,0,0,0,1.5877e-17,-6.7429e-18,0,-2.7879e-19,-3.2447e-33,4.6655e-33,1.3425e-17,3.2916e-17,-5.2013e-16,1.0873e-34,3.2916e-17,-5.2013e-16,1.0873e-34,3.5456e-05,1.6824e-07,1.0687e-05,-4.3491e-07,-5.0618e-21,7.2781e-21,3.1415e-05,1.5789e-05,1,1.116,1.116,0.09,0
3.2952e-17,-5.2177e-16,1.4445e-34,3.2952e-17,-5.2177e-16,1.4445e-34,0,0,0,1.5842e-17,-6.7277e-18,0,-2.7883e-19,-5.0247e-33,4.7503e-33,1.3395e-17,3.2952e-17,-5.2177e-16,1.4445e-34,3.2952e-17,-5.2177e-16,1.4445e-34,3.5376e-05,1.6788e-07,1.0663e-05,-4.3497e-07,-7.8385e-21,7.4105e-21,3.1345e-05,1.5754e-05,1,1.118,1.118,0.09,0
3.2989e-17,-5.2341e-16,1.8017e-34,3.2989e-17,-5.2341e-16,1.8017e-34,0,0,0,1.5806e-17,-6.7125e-18,0,-2.7887e-19,-6.8047e-33,4.8352e-33,1.3365e-17,3.2989e-17,-5.2341e-16,1.8017e-34,3.2989e-17,-5.2341e-16,1.8017e-34,3.5296e-05,1.6752e-07,1.0639e-05,-4.3504e-07,-1.0615e-20,7.5428e-21,3.1274e-05,1.5718e-05,1,1.12,1.12,0.09,0
3.3025e-17,-5.2508e-16,1.889e-34,3.3025e-17,-5.2508e-16,1.889e-34,0,0,0,1.577e-17,-6.6973e-18,0,-2.7888e-19,-7.3662e-33,1.8968e-33,1.3335e-17,3.3025e-17,-5.2507e-16,1.889e-34,3.3025e-17,-5.2507e-16,1.889e-34,3.5216e-05,1.6712e-07,1.0615e-05,-4.3505e-07,-1.1491e-20,2.9589e-21,3.1203e-05,1.5682e-05,1,1.122,1.122,0.09,0
3.306e-17,-5.2674e-16,1.9762e-34,3.306e-17,-5.2674e-16,1.9762e-34,0,0,0,1.5734e-17,-6.682e-18,0,-2.7889e-19,-7.9277e-33,-1.0417e-33,1.3304e-17,3.306e-17,-5.2674e-16,1.9762e-34,3.306e-17,-5.2674e-16,1.9762e-34,3.5136e-05,1.6673e-07,1.0591e-05,-4.3507e-07,-1.2367e-20,-1.625e-21,3.1132e-05,1.5647e-05,1,1.124,1.124,0.09,0
3.3096e-17,-5.284e-16,2.0635e-34,3.3096e-17,-5.284e-16,2.0635e-34,0,0,0,1.5698e-17,-6.6668e-18,0,-2.789e-19,-8.4893e-33,-3.9802e-33,1.3274e-17,3.3096e-17,-5.284e-16,2.0635e-34,3.3096e-17,-5.284e-16,2.0635e-34,3.5055e-05,1.6633e-07,1.0567e-05,-4.3508e-07,-1.3243e-20,-6.2092e-21,3.1061e-05,1.5611e-05,1,1.126,1.126,0.09,0
3.3132e-17,-5.3006e-16,2.1507e-34,3.3132e-17,-5.3006e-16,2.1507e-34,0,0,0,1.5662e-17,-6.6516e-18,0,-2.7891e-19,-9.0508e-33,-6.9187e-33,1.3244e-17,3.3132e-17,-5.3006e-16,2.1507e-34,3.3132e-17,-5.3006e-16,2.1507e-34,3.4975e-05,1.6594e-07,1.0542e-05,-4.3509e-07,-1.4119e-20,-1.0793e-20,3.099e-05,1.5575e-05,1,1.128,1.128,0.09,0
3.3168e-17,-5.3172e-16,2.238e-34,3.3168e-17,-5.3172e-16,2.238e-34,0,0,0,1.5626e-17,-6.6363e-18,0,-2.7892e-19,-9.6123e-33,-9.8571e-33,1.3214e-17,3.3168e-17,-5.3172e-16,2.238e-34,3.3168e-17,-5.3172e-16,2.238e-34,3.4895e-05,1.6555e-07,1.0518e-05,-4.3511e-07,-1.4995e-20,-1.5377e-20,3.092e-05,1.554e-05,1,1.13,1.13,0.09,0
3.3203e-17,-5.3338e-16,2.3252e-34,3.3203e-17,-5.3338e-16,2.3252e-34,0,0,0,1.559e-17,-6.6211e-18,0,-2.7892e-19,-1.0174e-32,-1.2795e-32,1.3183e-17,3.3203e-17,-5.3338e-16,2.3252e-34,3.3203e-17,-5.3338e-16,2.3252e-34,3.4815e-05,1.6515e-07,1.0494e-05,-4.3512e-07,-1.5871e-20,-1.9961e-20,3.0849e-05,1.5504e-05,1,1.132,1.132,0.09,0
3.3239e-17,-5.3505e-16,2.4125e-34,3.3239e-17,-5.3505e-16,2.4125e-34,0,0,0,1.5554e-17,-6.6058e-18,0,-2.7893e-19,-1.0735e-32,-1.5734e-32,1.3153e-17,3.3239e-17,-5.3505e-16,2.4125e-34,3.3239e-17,-5.3505e-16,2.4125e-34,3.4735e-05,1.6476e-07,1.047e-05,-4.3514e-07,-1.6747e-20,-2.4545e-20,3.0778e-05,1.5468e-05,1,1.134,1.134,0.09,0
3.3275e-17,-5.3671e-16,2.4997e-34,3.3275e-17,-5.3671e-16,2.4997e-34,0,0,0,1.5519e-17,-6.5906e-18,0,-2.7894e-19,-1.1297e-32,-1.8673e-32,1.3123e-17,3.3275e-17,-5.3671e-16,2.4997e-34,3.3275e-17,-5.3671e-16,2.4997e-34,3.4655e-05,1.6437e-07,1.0446e-05,-4.3515e-07,-1.7623e-20,-2.9129e-20,3.0707e-05,1.5433e-05,1,1.136,1.136,0.09,0
3.331e-17,-5.3837e-16,2.587e-34,3.331e-17,-5.3837e-16,2.587e-34,0,0,0,1.5483e-17,-6.5754e-18,0,-2.7895e-19,-1.1858e-32,-2.1611e-32,1.3092e-17,3.331e-17,-5.3837e-16,2.587e-34,3.331e-17,-5.3837e-16,2.587e-34,3.4575e-05,1.6397e-07,1.0422e-05,-4.3516e-07,-1.8499e-20,-3.3713e-20,3.0636e-05,1.5397e-05,1,1.138,1.138,0.09,0
3.3346e-17,-5.4003e-16,2.6742e-34,3.3346e-17,-5.4003e-16,2.6742e-34,0,0,0,1.5447e-17,-6.5601e-18,0,-2.7896e-19,-1.242e-32,-2.4549e-32,1.3062e-17,3.3346e-17,-5.4003e-16,2.6742e-34,3.3346e-17,-5.4003e-16,2.6742e-34,3.4494e-05,1.6358e-07,1.0397e-05,-4.3518e-07,-1.9375e-20,-3.8297e-20,3.0565e-05,1.5361e-05,1,1.14,1.14,0.09,0
3.3381e-17,-5.4171e-16,2.3085e-34,3.3381e-17,-5.4171e-16,2.3085e-34,0,0,0,1.5411e-17,-6.5449e-18,0,-2.7897e-19,-1.0371e-32,-2.5074e-32,1.3032e-17,3.3381e-17,-5.4171e-16,2.3085e-34,3.3381e-17,-5.4171e-16,2.3085e-34,3.4414e-05,1.6321e-07,1.0373e-05,-4.352e-07,-1.6179e-20,-3.9115e-20,3.0495e-05,1.5326e-05,1,1.142,1.142,0.09,0
